0.000000 0.000000
0.119221 -0.056271
0.225024 -0.123590
0.316848 -0.199734
0.394427 -0.282541
0.457768 -0.369937
0.507125 -0.459967
0.542972 -0.550815
0.565970 -0.640825
0.576943 -0.728511
0.576845 -0.812572
0.566730 -0.891890
0.547729 -0.965540
0.521016 -1.032780
0.487789 -1.093051
0.449247 -1.145969
0.406565 -1.191315
0.360878 -1.229020
0.313267 -1.259157
0.264742 -1.281922
0.216234 -1.297621
0.168584 -1.306653
0.122538 -1.309496
0.078744 -1.306689
0.037750 -1.298819
-0.000000 -1.286505
-0.034157 -1.270383
-0.064470 -1.251096
-0.090778 -1.229280
-0.113005 -1.205556
-0.131153 -1.180516
-0.145294 -1.154722
-0.155564 -1.128694
-0.162153 -1.102905
-0.165297 -1.077783
-0.165269 -1.053699
-0.162371 -1.030974
-0.156927 -1.009873
-0.149273 -0.990609
-0.139754 -0.973340
-0.128712 -0.958179
-0.116483 -0.945187
-0.103393 -0.934385
-0.089753 -0.925750
-0.075850 -0.919228
-0.061952 -0.914730
-0.048300 -0.912143
-0.035108 -0.911328
-0.022561 -0.912132
-0.010815 -0.914387
0.000000 -0.917915
0.009786 -0.922534
0.018471 -0.928060
0.026008 -0.934310
0.032377 -0.941107
0.037576 -0.948281
0.041627 -0.955671
0.044570 -0.963129
0.046458 -0.970517
0.047358 -0.977715
0.047350 -0.984615
0.046520 -0.991126
0.044960 -0.997171
0.042768 -1.002691
0.040040 -1.007638
0.036876 -1.011982
0.033373 -1.015704
0.029623 -1.018799
0.025715 -1.021273
0.021731 -1.023142
0.017750 -1.024430
0.013838 -1.025172
0.010059 -1.025405
0.006464 -1.025175
0.003099 -1.024529
-0.000000 -1.023518
-0.002804 -1.022194
-0.005292 -1.020611
-0.007452 -1.018820
-0.009276 -1.016873
-0.010766 -1.014818
-0.011926 -1.012700
-0.012769 -1.010564
-0.013310 -1.008447
-0.013568 -1.006385
-0.013566 -1.004408
-0.013328 -1.002542
-0.012881 -1.000810
-0.012253 -0.999229
-0.011472 -0.997812
-0.010565 -0.996567
-0.009561 -0.995501
-0.008487 -0.994614
-0.007367 -0.993905
-0.006226 -0.993370
-0.005085 -0.993001
-0.003965 -0.992788
-0.002882 -0.992721
-0.001852 -0.992787
-0.000888 -0.992972
